banana producers
preliminary draft
straight away
post offices
urgent procedure
taking place
at 12 noon
actual fact
forestry sector
illegal immigration
warm thanks
working people
power stations
goes without saying
longer term
500 000
acquis communautaire
per annum
good time
move forward
whole range
heavy goods
based upon
joint text approved
last resort
takes place
prime ministers
general terms
today 's
later date
prime minister
call upon
questions nos
quite simply
take part
daily basis
eldr group
at 3 p.m
set aside
well known
old age
grain legumes
tobacco industry
even though
women 's
years old
western european
taken away
massive scale
working towards
come back
made available
at 5.30 p.m
good enough
putting forward
social democratic
izquierdo rojo
monitoring centre
densely populated
ex ante
interest rates
goes beyond
trade unions
china 's
at long last
at 11 a.m
long run
car industry
lose sight
people 's
take advantage
staff regulations
national assembly
make sure
good thing
per capita
medium term
young people
high time
environmentally friendly
starting point
foreign exchange
hemp grown
practical terms
stock exchange
first instance
el mr
past couple
first place
social democrats
whole raft
go back
displaced persons
contracting party
pse group
run counter
ozone layer
let us
friday sittings
fall within
you can see
reform party
reaction facility
commission 's
human beings
you will understand
christian democrats
reserve assets
illegal immigrants
olive oil
parliament 's
go hand
plenary session
taking part
take place
nations group
fellow members
majority voting
commitments made
300 000
certain degree
put forward
fellow citizens
plenary part-session
regular basis
go ahead
short term
bovine animals
at 11.30 a.m
urgent subjects
long term
pay tribute
well aware
subject matter
called upon
explanatory statement
plenary sitting
elderly people
full well
move away
took place
time limits
i look forward
